@relation bus

@attribute weekday {Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday}
@attribute daytype {holiday, normal, non_working_day, weekend_holiday}
@attribute month {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12}
@attribute eastertime {TRUE, FALSE}
@attribute christmastime {TRUE, FALSE}
@attribute nonschoolperiod {TRUE, FALSE}
@attribute schedule {1, 2, 3, 4}

@data
Thursday,normal,3,FALSE,FALSE,FALSE,2
Thursday,normal,3,FALSE,FALSE,FALSE,2
Thursday,normal,3,FALSE,FALSE,FALSE,2
Thursday,normal,3,FALSE,FALSE,FALSE,2
Friday,normal,3,FALSE,FALSE,FALSE,2
Friday,normal,3,FALSE,FALSE,FALSE,2
Friday,normal,3,FALSE,FALSE,FALSE,2
Friday,normal,3,FALSE,FALSE,FALSE,2
Friday,normal,3,FALSE,FALSE,FALSE,2
Monday,normal,4,TRUE,FALSE,FALSE,2
Monday,normal,4,FALSE,FALSE,FALSE,2
Monday,normal,4,FALSE,FALSE,FALSE,2
Monday,normal,4,FALSE,FALSE,FALSE,2
Monday,normal,4,FALSE,FALSE,FALSE,2
Tuesday,normal,4,TRUE,FALSE,FALSE,2
Tuesday,normal,4,FALSE,FALSE,FALSE,2
Tuesday,normal,4,FALSE,FALSE,FALSE,2
Tuesday,normal,4,FALSE,FALSE,FALSE,2
Wednesday,normal,4,TRUE,FALSE,FALSE,2
Wednesday,normal,4,FALSE,FALSE,FALSE,2
Wednesday,normal,4,FALSE,FALSE,FALSE,2
Thursday,normal,4,TRUE,FALSE,FALSE,2
Thursday,normal,4,FALSE,FALSE,FALSE,2
Thursday,normal,4,FALSE,FALSE,FALSE,2
Thursday,normal,4,FALSE,FALSE,FALSE,2
Friday,normal,4,FALSE,FALSE,FALSE,2
Friday,normal,4,FALSE,FALSE,FALSE,2
Friday,normal,4,FALSE,FALSE,FALSE,2
Monday,normal,5,FALSE,FALSE,FALSE,2
Monday,normal,5,FALSE,FALSE,FALSE,2
Monday,normal,5,FALSE,FALSE,FALSE,2
Monday,normal,5,FALSE,FALSE,FALSE,2
Tuesday,normal,5,FALSE,FALSE,FALSE,2
Tuesday,normal,5,FALSE,FALSE,FALSE,2
Tuesday,normal,5,FALSE,FALSE,FALSE,2
Tuesday,normal,5,FALSE,FALSE,FALSE,2
Wednesday,normal,5,FALSE,FALSE,FALSE,2
Wednesday,normal,5,FALSE,FALSE,FALSE,2
Wednesday,normal,5,FALSE,FALSE,FALSE,2
Wednesday,normal,5,FALSE,FALSE,FALSE,2
Wednesday,normal,5,FALSE,FALSE,FALSE,2
Thursday,normal,5,FALSE,FALSE,FALSE,2
Thursday,normal,5,FALSE,FALSE,FALSE,2
Thursday,normal,5,FALSE,FALSE,FALSE,2
Thursday,normal,5,FALSE,FALSE,FALSE,2
Thursday,normal,5,FALSE,FALSE,FALSE,2
Friday,normal,5,FALSE,FALSE,FALSE,2
Friday,normal,5,FALSE,FALSE,FALSE,2
Friday,normal,5,FALSE,FALSE,FALSE,2
Friday,normal,5,FALSE,FALSE,FALSE,2
Monday,normal,6,FALSE,FALSE,FALSE,2
Monday,normal,6,FALSE,FALSE,FALSE,2
Monday,normal,6,FALSE,FALSE,FALSE,2
Monday,normal,6,FALSE,FALSE,FALSE,2
Tuesday,normal,6,FALSE,FALSE,FALSE,2
Tuesday,normal,6,FALSE,FALSE,FALSE,2
Tuesday,normal,6,FALSE,FALSE,FALSE,2
Tuesday,normal,6,FALSE,FALSE,FALSE,2
Wednesday,normal,6,FALSE,FALSE,FALSE,2
Wednesday,normal,6,FALSE,FALSE,FALSE,2
Wednesday,normal,6,FALSE,FALSE,FALSE,2
Wednesday,normal,6,FALSE,FALSE,FALSE,2
Thursday,normal,6,FALSE,FALSE,FALSE,2
Thursday,normal,6,FALSE,FALSE,FALSE,2
Thursday,normal,6,FALSE,FALSE,FALSE,2
Friday,normal,6,FALSE,FALSE,FALSE,2
Friday,normal,6,FALSE,FALSE,FALSE,2
Friday,normal,6,FALSE,FALSE,FALSE,2
Friday,normal,6,FALSE,FALSE,FALSE,2
Friday,normal,6,FALSE,FALSE,FALSE,2
Monday,normal,7,FALSE,FALSE,FALSE,2
Monday,normal,7,FALSE,FALSE,FALSE,2
Tuesday,normal,7,FALSE,FALSE,FALSE,2
Tuesday,normal,7,FALSE,FALSE,FALSE,2
Wednesday,normal,7,FALSE,FALSE,FALSE,2
Wednesday,normal,7,FALSE,FALSE,FALSE,2
Thursday,normal,7,FALSE,FALSE,FALSE,2
Thursday,normal,7,FALSE,FALSE,FALSE,2
Friday,normal,7,FALSE,FALSE,FALSE,2
Friday,normal,7,FALSE,FALSE,FALSE,2
Monday,normal,9,FALSE,FALSE,FALSE,2
Monday,normal,9,FALSE,FALSE,FALSE,2
Tuesday,normal,9,FALSE,FALSE,FALSE,2
Tuesday,normal,9,FALSE,FALSE,FALSE,2
Wednesday,normal,9,FALSE,FALSE,FALSE,2
Wednesday,normal,9,FALSE,FALSE,FALSE,2
Thursday,normal,9,FALSE,FALSE,FALSE,2
Thursday,normal,9,FALSE,FALSE,FALSE,2
Friday,normal,9,FALSE,FALSE,FALSE,2
Friday,normal,9,FALSE,FALSE,FALSE,2
Monday,normal,10,FALSE,FALSE,FALSE,2
Monday,normal,10,FALSE,FALSE,FALSE,2
Monday,normal,10,FALSE,FALSE,FALSE,2
Monday,normal,10,FALSE,FALSE,FALSE,2
Monday,normal,10,FALSE,FALSE,FALSE,2
Tuesday,normal,10,FALSE,FALSE,FALSE,2
Tuesday,normal,10,FALSE,FALSE,FALSE,2
Tuesday,normal,10,FALSE,FALSE,FALSE,2
Tuesday,normal,10,FALSE,FALSE,FALSE,2
Tuesday,normal,10,FALSE,FALSE,FALSE,2
Wednesday,normal,10,FALSE,FALSE,FALSE,2
Wednesday,normal,10,FALSE,FALSE,FALSE,2
Wednesday,normal,10,FALSE,FALSE,FALSE,2
Wednesday,normal,10,FALSE,FALSE,FALSE,2
Wednesday,normal,10,FALSE,FALSE,FALSE,2
Thursday,normal,10,FALSE,FALSE,FALSE,2
Thursday,normal,10,FALSE,FALSE,FALSE,2
Thursday,normal,10,FALSE,FALSE,FALSE,2
Thursday,normal,10,FALSE,FALSE,FALSE,2
Friday,normal,10,FALSE,FALSE,FALSE,2
Friday,normal,10,FALSE,FALSE,FALSE,2
Friday,normal,10,FALSE,FALSE,FALSE,2
Monday,normal,11,FALSE,FALSE,FALSE,2
